,Product,Unit Price,Category
173,XIAOMI REDMI A3 MIDNIGHT BLACK 4GB RAM 128GB ROM,"156,90€",Smartphone & Cellulari
174,XIAOMI REDMI A3 STAR BLUE 4GB RAM 128GB ROM,"156,90€",Smartphone & Cellulari
175,"BEGHELLI IL TELEFONO GSM CON CHIAMATA RAPIDA DI SOCCORSO, LOCALIZZAZIONE E SENSORE DI CADUTA.","69,90€",Smartphone & Cellulari
176,TCL 505 128 GB SPACE GREY,"95,90€",Smartphone & Cellulari
177,TCL 505 128 GB OCEAN BLUE,"95,90€",Smartphone & Cellulari
178,TCL ONETOUCH 4043 GREY,"69,90€",Smartphone & Cellulari
179,REALME - REALME 12PRO+ 5G SUBMARINE BLUE (512GB 12GB),"629,90€",Smartphone & Cellulari
180,REALME - REALME 12PRO+ 5G NAVIGATOR BEIGE (512GB 12GB),"349,90€",Smartphone & Cellulari
181,REALME - REALME 12PRO 5G SUBMARINE BLUE GLOBAL+NFC (256GB 12GB),"449,99€",Smartphone & Cellulari
182,SAMSUNG GALAXY A55 5G 8+256GB AWESOME NAVY,"572,90€",Smartphone & Cellulari
183,SAMSUNG GALAXY A55 5G 8+256GB AWESOME ICEBLUE,"572,90€",Smartphone & Cellulari
184,SAMSUNG GALAXY A55 5G 8+256GB AWESOME LILAC,"399,90€",Smartphone & Cellulari
185,SAMSUNG GALAXY A55 5G 8+128GB AWESOME ICEBLUE,"364,90€",Smartphone & Cellulari
186,SAMSUNG GALAXY A55 5G 8+128GB AWESOME LILAC,"379,90€",Smartphone & Cellulari
187,SAMSUNG GALAXY A35 5G 8+256GB AWESOME NAVY,"399,00€",Smartphone & Cellulari
188,SAMSUNG GALAXY A35 5G 8+256GB AWESOME ICEBLUE,"338,90€",Smartphone & Cellulari
189,SAMSUNG GALAXY A35 5G 6+128GB AWESOME NAVY,"249,90€",Smartphone & Cellulari
190,SAMSUNG GALAXY A35 5G 6+128GB AWESOME ICEBLUE,"289,90€",Smartphone & Cellulari
191,SAMSUNG GALAXY A35 5G 6+128GB AWESOME LEMON,"289,90€",Smartphone & Cellulari
